SatellitePair,Distance
Sat11 to Sat12,6276.1431395740265
Sat11 to Sat12,6276.143139574024
Sat11 to Sat12,6276.143139574028
Sat11 to Sat12,6276.143139574022
Sat11 to Sat12,6276.143139574029
Sat11 to Sat12,6276.14313957403
Sat11 to Sat12,6276.00829081636
Sat11 to Sat21,6304.782389617903
Sat11 to Sat21,6034.3887532028
Sat11 to Sat21,5378.743886556878
Sat11 to Sat21,4382.579172515569
Sat11 to Sat21,3117.440819418272
Sat11 to Sat21,1697.497527058484
Sat11 to Sat21,661.2274228521412
Sat12 to Sat13,6276.14313957403
Sat12 to Sat13,6276.143139574024
Sat12 to Sat13,6276.143139574026
Sat12 to Sat13,6276.1431395740265
Sat12 to Sat13,6276.14313957403
Sat12 to Sat13,6276.143139574028
Sat12 to Sat13,6276.008290825167
Sat12 to Sat22,4291.195692493342
Sat12 to Sat22,3008.7764749738494
Sat12 to Sat22,1585.0103611625013
Sat12 to Sat22,677.1225581264827
Sat12 to Sat22,1847.8567411319607
Sat12 to Sat22,3260.0175341182066
Sat12 to Sat22,4501.18380107161
Sat13 to Sat14,6276.143139574031
Sat13 to Sat14,6276.143139574026
Sat13 to Sat14,6276.1431395740265
Sat13 to Sat14,6276.143139574028
Sat13 to Sat14,6276.143139574027
Sat13 to Sat14,6276.1431395740265
Sat13 to Sat14,6276.008290825843
Sat13 to Sat23,715.3745738575751
Sat13 to Sat23,1961.662834311935
Sat13 to Sat23,3366.1746164368383
Sat13 to Sat23,4588.58754105298
Sat13 to Sat23,5526.643828600544
Sat13 to Sat23,6113.976824303193
Sat13 to Sat23,6310.688847878245
Sat14 to Sat15,6276.143139574025
Sat14 to Sat15,6276.143139574024
Sat14 to Sat15,6276.1431395740265
Sat14 to Sat15,6276.143139574028
Sat14 to Sat15,6276.1431395740265
Sat14 to Sat15,6276.143139574023
Sat14 to Sat15,6276.008290817034
Sat14 to Sat24,4674.1614225129515
Sat14 to Sat24,5586.54605574804
Sat14 to Sat24,6144.098390242105
Sat14 to Sat24,6309.006125477498
Sat14 to Sat24,6070.20553379433
Sat14 to Sat24,5443.739118406994
Sat14 to Sat24,4472.2832604631985
Sat15 to Sat16,6276.143139574025
Sat15 to Sat16,6276.143139574023
Sat15 to Sat16,6276.143139574028
Sat15 to Sat16,6276.143139574025
Sat15 to Sat16,6276.14313957403
Sat15 to Sat16,6276.14313957403
Sat15 to Sat16,6276.0082908163595
Sat15 to Sat25,6304.7823896179025
Sat15 to Sat25,6034.388753202803
Sat15 to Sat25,5378.743886556879
Sat15 to Sat25,4382.579172515569
Sat15 to Sat25,3117.440819418273
Sat15 to Sat25,1697.497527058484
Sat15 to Sat25,661.2274228521403
Sat16 to Sat17,6276.14313957403
Sat16 to Sat17,6276.143139574025
Sat16 to Sat17,6276.143139574027
Sat16 to Sat17,6276.143139574027
Sat16 to Sat17,6276.143139574028
Sat16 to Sat17,6276.143139574028
Sat16 to Sat17,6276.008290825167
Sat16 to Sat26,4291.195692493344
Sat16 to Sat26,3008.7764749738503
Sat16 to Sat26,1585.0103611625025
Sat16 to Sat26,677.1225581264836
Sat16 to Sat26,1847.8567411319607
Sat16 to Sat26,3260.0175341182066
Sat16 to Sat26,4501.18380107161
Sat17 to Sat18,6276.14313957403
Sat17 to Sat18,6276.143139574026
Sat17 to Sat18,6276.1431395740265
Sat17 to Sat18,6276.143139574028
Sat17 to Sat18,6276.1431395740265
Sat17 to Sat18,6276.1431395740265
Sat17 to Sat18,6276.008290825844
Sat17 to Sat27,715.3745738575728
Sat17 to Sat27,1961.6628343119332
Sat17 to Sat27,3366.1746164368374
Sat17 to Sat27,4588.587541052978
Sat17 to Sat27,5526.643828600545
Sat17 to Sat27,6113.976824303192
Sat17 to Sat27,6310.688847878245
Sat18 to Sat11,6276.1431395740265
Sat18 to Sat11,6276.1431395740265
Sat18 to Sat11,6276.143139574028
Sat18 to Sat11,6276.14313957403
Sat18 to Sat11,6276.143139574028
Sat18 to Sat11,6276.1431395740265
Sat18 to Sat11,6276.008290817035
Sat18 to Sat28,4674.161422512951
Sat18 to Sat28,5586.546055748037
Sat18 to Sat28,6144.098390242101
Sat18 to Sat28,6309.006125477499
Sat18 to Sat28,6070.205533794332
Sat18 to Sat28,5443.739118406995
Sat18 to Sat28,4472.2832604631985
Sat21 to Sat22,6276.143139574026
Sat21 to Sat22,6276.143139574023
