SatellitePair,Distance
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat12,6276
Sat11 to Sat21,6305
Sat11 to Sat21,6034
Sat11 to Sat21,5379
Sat11 to Sat21,4383
Sat11 to Sat21,3117
Sat11 to Sat21,1697
Sat11 to Sat21,661
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat13,6276
Sat12 to Sat22,4291
Sat12 to Sat22,3009
Sat12 to Sat22,1585
Sat12 to Sat22,677
Sat12 to Sat22,1848
Sat12 to Sat22,3260
Sat12 to Sat22,4501
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat14,6276
Sat13 to Sat23,715
Sat13 to Sat23,1962
Sat13 to Sat23,3366
Sat13 to Sat23,4589
Sat13 to Sat23,5527
Sat13 to Sat23,6114
Sat13 to Sat23,6311
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat15,6276
Sat14 to Sat24,4674
Sat14 to Sat24,5587
Sat14 to Sat24,6144
Sat14 to Sat24,6309
Sat14 to Sat24,6070
Sat14 to Sat24,5444
Sat14 to Sat24,4472
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat16,6276
Sat15 to Sat25,6305
Sat15 to Sat25,6034
Sat15 to Sat25,5379
Sat15 to Sat25,4383
Sat15 to Sat25,3117
Sat15 to Sat25,1697
Sat15 to Sat25,661
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat17,6276
Sat16 to Sat26,4291
Sat16 to Sat26,3009
Sat16 to Sat26,1585
Sat16 to Sat26,677
Sat16 to Sat26,1848
Sat16 to Sat26,3260
Sat16 to Sat26,4501
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat18,6276
Sat17 to Sat27,715
Sat17 to Sat27,1962
Sat17 to Sat27,3366
Sat17 to Sat27,4589
Sat17 to Sat27,5527
Sat17 to Sat27,6114
Sat17 to Sat27,6311
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat11,6276
Sat18 to Sat28,4674
Sat18 to Sat28,5587
Sat18 to Sat28,6144
Sat18 to Sat28,6309
Sat18 to Sat28,6070
Sat18 to Sat28,5444
Sat18 to Sat28,4472
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat22,6276
Sat21 to Sat31,6257
Sat21 to Sat31,5852
Sat21 to Sat31,5073
Sat21 to Sat31,3976
Sat21 to Sat31,2641
Sat21 to Sat31,1222
Sat21 to Sat31,871
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat23,6276
Sat22 to Sat32,3877
Sat22 to Sat32,2529
Sat22 to Sat32,1119
Sat22 to Sat32,958
Sat22 to Sat32,2340
Sat22 to Sat32,3710
Sat22 to Sat32,4866
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat24,6276
Sat23 to Sat33,1053
Sat23 to Sat33,2453
Sat23 to Sat33,3811
Sat23 to Sat33,4945
Sat23 to Sat33,5770
Sat23 to Sat33,6226
Sat23 to Sat33,6285
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat25,6276
Sat24 to Sat34,5023
Sat24 to Sat34,5820
Sat24 to Sat34,6246
Sat24 to Sat34,6272
Sat24 to Sat34,5898
Sat24 to Sat34,5147
Sat24 to Sat34,4072
Sat25 to Sat26,6276
Sat25 to Sat26,6276
Sat25 to Sat26,6276
Sat25 to Sat26,6276
Sat25 to Sat26,6276
Sat25 to Sat26,6276
Sat25 to Sat26,6276
