Country,Region,Population,Internet Users,% of Population,,
_World,,7920539977,5424080321,68.48,,
Afganistan,Asia,40403518,9237489,22.86,5424080321,0.001703052
Albania,Europe,2872758,2191467,76.28,5424080321,0.000404026
Algeria,Africa,45150879,37836425,83.8,5424080321,0.006975639
American Samoa,Oceania,54995,34800,63.28,5424080321,6.42E-06
Andorra,Europe,77465,73101,94.37,5424080321,1.35E-05
Angola,Africa,34592611,8980670,25.96,5424080321,0.001655704
Anguilla,America,15222,13665,89.77,5424080321,2.52E-06
Antarctica,Oceania,2700,2700,100,5424080321,4.98E-07
Antigua & Barbuda,America,99251,79731,80.33,5424080321,1.47E-05
Argentina,America,45873172,42000000,91.56,5424080321,0.007743248
Armenia,Asia,2972164,2288566,77,5424080321,0.000421927
Aruba,America,107499,111800,104,5424080321,2.06E-05
Australia,Oceania,25990169,23391152,90,5424080321,0.004312464
Austria,Europe,9090358,7999515,88,5424080321,0.001474815
Azerbaijan,Asia,10288594,8745304,85,5424080321,0.001612311
Bahamas,America,399387,347467,87,5424080321,6.41E-05
Bahrain,Middle East,1804583,1804583,100,5424080321,0.000332698
Bangladesh,Asia,167377329,129180000,77.18,5424080321,0.023816019
Barbados,America,286388,228717,79.86,5424080321,4.22E-05
Belarus,Europe,9444331,8027681,85,5424080321,0.001480008
Belgium,Europe,11671799,10738055,92,5424080321,0.001979701
Belize,America,409633,305200,74.51,5424080321,5.63E-05
Benin,Africa,12653644,3801758,30.04,5424080321,0.000700904
Bermuda,America,61912,61969,100.09,5424080321,1.14E-05
Bhutan,Asia,785558,583900,74.33,5424080321,0.00010765
Bolivia,America,11935560,8902400,74.59,5424080321,0.001641274
"Bonaire, S.E., Saba",America,26621,20956,78.72,5424080321,3.86E-06
Bosnia-Herzegovina,Europe,3248442,2828846,87.08,5424080321,0.000521535
Botswana,Africa,2429926,1247000,51.32,5424080321,0.000229901
Brazil,America,215016658,178100000,82.83,5424080321,0.032835059
British Virgin Islands,America,30558,25024,81.89,5424080321,4.61E-06
Brunei Darussulam,Asia,444336,531800,119.68,5424080321,9.80E-05
Bulgaria,Europe,6865308,4805716,70,5424080321,0.000885996
Burkina Faso,Africa,21863344,4594265,21.01,5424080321,0.000847013
Burundi,Africa,12487044,1606122,12.86,5424080321,0.00029611
Cabo Verde,Africa,565751,352120,62.24,5424080321,6.49E-05
Cambodia,Asia,17101186,13875400,81.14,5424080321,0.002558111
Cameroon,Africa,27646656,9158422,33.13,5424080321,0.001688475
Canada,America,38281870,37133414,97,5424080321,0.00684603
Cayman Islands,America,66990,73800,110.17,5424080321,1.36E-05
Central African Rep.,Africa,4967426,557085,11.21,5424080321,0.000102706
Chad,Africa,17217597,2237932,13,5424080321,0.000412592
Chile,America,19383887,18835100,97.17,5424080321,0.003472497
China,Asia,1448314408,1010740000,69.79,5424080321,0.186343111
Christmas Island,Oceania,2205,1449,65.71,5424080321,2.67E-07
